case,num_elements,time,delta
0,30.0,0.7804553508758545,0.5
1,96.0,0.3309769630432129,0.4
2,197.0,0.7958683967590332,0.3
3,408.0,1.4980220794677734,0.25
4,798.0,3.990157127380371,0.2
5,2209.0,20.37119436264038,0.15
6,3382.0,42.69717454910278,0.125
7,6732.0,282.33586502075195,0.1
